Time; Xposition; Yposition; Angle; Speed
0,025;0,000;0,000;90,000;-0,085
0,061;0,000;0,000;90,000;-0,085
0,086;0,000;0,000;90,000;-0,085
0,112;0,000;0,000;90,000;-0,085
0,137;0,000;0,000;98,160;-0,142
0,162;-0,014;0,000;98,160;-0,142
0,188;-0,014;0,000;98,160;-0,142
0,213;-0,014;0,000;98,160;-0,142
0,238;-0,014;0,000;106,320;-0,142
0,263;-0,028;0,000;106,320;-0,142
0,288;-0,028;0,000;106,320;-0,142
0,313;-0,028;0,000;106,320;-0,142
0,338;-0,028;0,000;114,480;-0,142
0,363;-0,043;0,002;114,480;-0,142
0,388;-0,043;0,002;114,480;-0,142
0,414;-0,043;0,002;114,480;-0,142
0,439;-0,043;0,002;122,640;-0,142
0,464;-0,056;0,006;122,640;-0,142
0,489;-0,056;0,006;122,640;-0,142
0,514;-0,056;0,006;122,640;-0,142
0,540;-0,056;0,006;130,800;-0,142
0,565;-0,069;0,012;130,800;-0,142
0,590;-0,069;0,012;130,800;-0,142
0,615;-0,069;0,012;130,800;-0,142
0,640;-0,069;0,012;138,960;-0,142
0,665;-0,081;0,020;138,960;-0,142
0,690;-0,081;0,020;138,960;-0,142
0,715;-0,081;0,020;138,960;-0,142
0,740;-0,081;0,020;147,120;-0,142
0,765;-0,092;0,029;147,120;-0,142
0,791;-0,092;0,029;147,120;-0,142
0,816;-0,092;0,029;147,120;-0,142
0,842;-0,092;0,029;155,280;-0,142
0,867;-0,101;0,040;155,280;-0,142
0,892;-0,101;0,040;155,280;-0,142
0,918;-0,101;0,040;155,280;-0,142
0,943;-0,101;0,040;163,440;-0,142
0,968;-0,109;0,052;163,440;-0,142
0,993;-0,109;0,052;163,440;-0,142
1,018;-0,109;0,052;163,440;-0,142
1,044;-0,109;0,052;171,600;-0,142
1,069;-0,115;0,065;171,600;-0,142
1,096;-0,115;0,065;171,600;-0,142
1,122;-0,115;0,065;171,600;-0,142
1,147;-0,115;0,065;179,760;-0,142
1,172;-0,119;0,078;179,760;-0,142
1,197;-0,119;0,078;179,760;-0,142
1,222;-0,119;0,078;179,760;-0,142
1,247;-0,119;0,078;187,920;-0,142
1,272;-0,121;0,092;187,920;-0,142
1,297;-0,121;0,092;187,920;-0,142
1,322;-0,121;0,092;187,920;-0,142
1,347;-0,121;0,092;196,080;-0,142
1,372;-0,121;0,107;196,080;-0,142
1,403;-0,121;0,107;196,080;-0,142
1,428;-0,121;0,107;196,080;-0,142
1,455;-0,121;0,107;204,240;-0,142
1,480;-0,119;0,121;204,240;-0,142
1,515;-0,119;0,121;204,240;-0,142
1,547;-0,119;0,121;212,400;-0,142
1,578;-0,115;0,134;212,400;-0,142
1,606;-0,115;0,134;212,400;-0,142
1,633;-0,115;0,134;220,560;-0,142
1,658;-0,109;0,147;220,560;-0,142
1,683;-0,109;0,147;220,560;-0,142
1,717;-0,109;0,147;220,560;-0,142
1,747;-0,109;0,147;228,720;-0,142
1,774;-0,102;0,159;228,720;-0,142
1,805;-0,102;0,159;228,720;-0,142
1,830;-0,102;0,159;236,880;-0,142
1,855;-0,093;0,170;236,880;-0,142
1,880;-0,093;0,170;236,880;-0,142
1,905;-0,093;0,170;236,880;-0,142
