Time; virtualBot X; VirtualBot Y; VirtualBot angle; EkX;Eky;EkAngle;EodomX;EodomY;Eodom angle; EcamX; EcamY; Ecam angle; Ykx;Yky; Yk angle
0,017;-0,150;0,000;90,000;1,000;1,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;
0,056;-0,150;0,000;90,000;1,000;1,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;
0,077;-0,150;0,000;90,000;1,000;1,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;
0,101;-0,150;0,000;90,000;1,000;1,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;
0,126;-0,150;0,000;90,000;0,000;0,000;0,766;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,190;-0,155;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,219;-0,158;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,249;-0,161;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,276;-0,162;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,297;-0,164;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,321;-0,167;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,346;-0,169;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,369;-0,171;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,395;-0,173;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,416;-0,175;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,437;-0,177;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,463;-0,179;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,484;-0,181;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,508;-0,184;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,533;-0,186;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,557;-0,187;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,584;-0,190;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,608;-0,192;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,634;-0,195;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,655;-0,196;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,680;-0,199;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,706;-0,201;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,731;-0,203;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,753;-0,205;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,784;-0,208;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,813;-0,211;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,840;-0,213;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,864;-0,215;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,890;-0,218;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,914;-0,219;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,940;-0,222;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,966;-0,224;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
0,992;-0,227;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
1,021;-0,229;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
1,048;-0,231;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
1,078;-0,235;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
1,105;-0,236;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
1,137;-0,239;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
1,168;-0,243;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
1,198;-0,245;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
1,225;-0,247;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
1,253;-0,250;0,000;90,000;0,000;0,000;0,600;0,000;0,000;1,571;0,000;0,000;0,000;0,000;0,000;-1,571;
