HardwareTime; SoftwareTime; Xposition; Yposition; Angle; RightEncoder; LeftEncoder
114,000;0,03370476;0,150;0,000;0,000;0;0
114,000;0,09872818;0,150;0,000;0,000;0;0
245,000;0,1561756;0,150;0,000;0,000;0;0
245,000;0,2753716;0,150;0,000;0,000;0;0
357,000;0,3384342;0,150;0,000;0,000;15;16
357,000;0,4018421;0,150;0,000;0,000;15;16
471,000;0,4593353;0,150;0,000;0,000;39;40
471,000;0,5181484;0,150;0,000;0,000;39;40
585,000;0,5793686;0,150;0,000;0,000;62;66
699,000;0,6464481;0,150;0,000;0,000;85;93
699,000;0,703783;0,150;0,000;0,000;85;93
813,000;0,7601166;0,150;0,000;0,000;109;122
