Time; Virtual x;Virtual y; Virtual angle; Eodom x; Eodom y; Eodom angle; Ecam x; Ecam y; Ecam angle; Ek x; Ek y ; Ek angle; Ykx; Yky; Yk angle
0,000;0,000;0,000;-0,195;0,000;0,000;0,000;0,000;0,000;0,000;1,000;1,000;1,000;0,000;0,000;0,000
0,020;0,000;0,000;-0,195;0,000;0,000;0,000;0,000;0,000;0,000;1,000;1,000;1,000;0,000;0,000;0,000
0,353;0,059;-0,002;-5,065;0,065;0,007;1,650;0,060;-0,010;1,659;0,062;-0,005;1,657;-0,005;-0,017;0,009
0,546;0,104;-0,008;-8,766;0,080;-0,024;1,714;0,094;-0,021;1,724;0,090;-0,022;1,721;0,014;0,003;0,009
0,637;0,125;-0,011;-10,520;0,094;0,020;1,745;0,141;-0,022;1,754;0,128;-0,010;1,752;0,047;-0,042;0,009
0,689;0,137;-0,013;-11,494;0,133;-0,063;1,762;0,136;0,005;1,771;0,135;-0,014;1,769;0,003;0,068;0,009
0,745;0,151;-0,016;-12,662;0,089;-0,023;1,782;0,136;-0,020;1,792;0,123;-0,021;1,789;0,048;0,003;0,009
0,788;0,160;-0,018;-13,442;0,158;-0,021;1,796;0,178;-0,011;1,805;0,172;-0,014;1,803;0,019;0,010;0,009
0,827;0,170;-0,021;-14,221;0,146;-0,021;1,810;0,158;-0,003;1,819;0,154;-0,008;1,816;0,011;0,018;0,009
0,872;0,181;-0,024;-15,195;0,151;0,011;1,827;0,197;-0,034;1,836;0,184;-0,022;1,833;0,045;-0,045;0,009
0,910;0,190;-0,026;-15,974;0,216;-0,022;1,840;0,209;-0,037;1,850;0,211;-0,033;1,847;-0,007;-0,014;0,009
0,959;0,200;-0,029;-16,753;0,166;-0,078;1,854;0,199;-0,018;1,863;0,190;-0,035;1,861;0,033;0,060;0,009
1,009;0,211;-0,032;-17,727;0,209;-0,082;1,871;0,225;-0,033;1,880;0,221;-0,047;1,878;0,016;0,049;0,009
1,051;0,222;-0,036;-18,701;0,158;-0,020;1,888;0,213;-0,055;1,897;0,198;-0,045;1,895;0,054;-0,035;0,009
1,094;0,231;-0,039;-19,481;0,182;-0,039;1,901;0,245;-0,037;1,911;0,227;-0,037;1,908;0,063;0,002;0,009
1,155;0,245;-0,044;-20,649;0,283;-0,017;1,922;0,229;-0,058;1,931;0,244;-0,047;1,929;-0,054;-0,041;0,009
1,216;0,258;-0,049;-21,818;0,269;-0,053;1,942;0,264;-0,041;1,952;0,266;-0,044;1,949;-0,005;0,012;0,009
1,279;0,271;-0,054;-22,987;0,227;-0,049;1,963;0,252;-0,045;1,972;0,245;-0,046;1,969;0,025;0,004;0,009
1,339;0,284;-0,060;-24,156;0,303;-0,039;1,983;0,274;-0,058;1,992;0,282;-0,052;1,990;-0,029;-0,019;0,009
1,376;0,293;-0,064;-24,935;0,286;-0,035;1,997;0,282;-0,076;2,006;0,283;-0,065;2,003;-0,004;-0,041;0,009
1,424;0,304;-0,069;-25,909;0,291;-0,024;2,014;0,324;-0,065;2,023;0,314;-0,053;2,020;0,033;-0,041;0,009
1,478;0,315;-0,074;-26,883;0,340;-0,006;2,031;0,308;-0,084;2,040;0,317;-0,062;2,037;-0,032;-0,078;0,009
1,529;0,325;-0,079;-27,857;0,363;-0,074;2,048;0,337;-0,083;2,057;0,344;-0,081;2,054;-0,026;-0,009;0,009
1,578;0,336;-0,085;-28,831;0,353;-0,075;2,065;0,325;-0,069;2,074;0,333;-0,071;2,071;-0,028;0,007;0,009
1,617;0,344;-0,090;-29,610;0,355;-0,082;2,078;0,349;-0,100;2,088;0,351;-0,095;2,085;-0,006;-0,019;0,009
1,654;0,352;-0,094;-30,390;0,320;-0,059;2,092;0,338;-0,097;2,101;0,333;-0,086;2,099;0,018;-0,038;0,009
1,716;0,365;-0,102;-31,559;0,386;-0,131;2,112;0,348;-0,090;2,122;0,358;-0,102;2,119;-0,038;0,041;0,009
1,762;0,375;-0,108;-32,533;0,401;-0,082;2,129;0,392;-0,121;2,139;0,394;-0,110;2,136;-0,009;-0,039;0,009
1,809;0,383;-0,113;-33,312;0,338;-0,062;2,143;0,376;-0,111;2,152;0,365;-0,097;2,150;0,039;-0,049;0,009
1,863;0,395;-0,121;-34,481;0,350;-0,143;2,163;0,403;-0,120;2,173;0,388;-0,126;2,170;0,053;0,023;0,009
1,921;0,406;-0,129;-35,649;0,356;-0,123;2,184;0,393;-0,117;2,193;0,382;-0,119;2,190;0,037;0,005;0,009
1,989;0,418;-0,137;-36,818;0,405;-0,154;2,204;0,406;-0,143;2,213;0,405;-0,146;2,211;0,000;0,011;0,009
2,047;0,429;-0,146;-37,987;0,462;-0,117;2,224;0,432;-0,139;2,234;0,440;-0,133;2,231;-0,030;-0,022;0,009
2,111;0,442;-0,156;-39,351;0,405;-0,141;2,248;0,459;-0,149;2,258;0,444;-0,147;2,255;0,054;-0,008;0,009
2,164;0,451;-0,164;-40,325;0,421;-0,164;2,265;0,452;-0,173;2,275;0,444;-0,171;2,272;0,031;-0,009;0,009
2,223;0,462;-0,173;-41,494;0,411;-0,113;2,286;0,470;-0,192;2,295;0,454;-0,170;2,292;0,059;-0,079;0,009
2,278;0,471;-0,181;-42,468;0,479;-0,158;2,303;0,473;-0,172;2,312;0,475;-0,168;2,309;-0,006;-0,014;0,009
2,322;0,480;-0,189;-43,442;0,530;-0,140;2,320;0,465;-0,186;2,329;0,483;-0,173;2,326;-0,065;-0,046;0,009
2,380;0,489;-0,198;-44,416;0,530;-0,219;2,337;0,469;-0,187;2,346;0,486;-0,195;2,343;-0,061;0,032;0,009
2,420;0,497;-0,206;-45,390;0,473;-0,133;2,354;0,500;-0,225;2,363;0,493;-0,199;2,360;0,027;-0,091;0,009
2,464;0,504;-0,213;-46,169;0,542;-0,235;2,367;0,523;-0,195;2,377;0,528;-0,206;2,374;-0,019;0,040;0,009
2,511;0,512;-0,221;-47,143;0,494;-0,180;2,384;0,510;-0,221;2,394;0,505;-0,209;2,391;0,016;-0,040;0,009
2,555;0,518;-0,228;-47,922;0,502;-0,279;2,398;0,538;-0,235;2,407;0,527;-0,247;2,405;0,036;0,043;0,009
2,613;0,528;-0,239;-49,091;0,549;-0,268;2,418;0,508;-0,251;2,428;0,520;-0,256;2,425;-0,040;0,017;0,009
2,663;0,536;-0,248;-50,065;0,524;-0,271;2,435;0,530;-0,257;2,445;0,528;-0,261;2,442;0,006;0,013;0,009
2,719;0,543;-0,257;-51,039;0,495;-0,235;2,452;0,560;-0,250;2,462;0,542;-0,246;2,459;0,065;-0,015;0,009
2,758;0,549;-0,264;-51,818;0,582;-0,278;2,466;0,566;-0,250;2,475;0,571;-0,258;2,473;-0,016;0,028;0,009
2,803;0,557;-0,274;-52,793;0,596;-0,236;2,483;0,571;-0,284;2,492;0,578;-0,270;2,490;-0,025;-0,048;0,009
2,846;0,562;-0,281;-53,572;0,532;-0,207;2,496;0,575;-0,287;2,506;0,563;-0,265;2,503;0,043;-0,080;0,009
2,890;0,569;-0,291;-54,546;0,610;-0,256;2,513;0,566;-0,295;2,523;0,579;-0,284;2,520;-0,044;-0,040;0,009
2,944;0,576;-0,301;-55,520;0,624;-0,277;2,530;0,581;-0,309;2,540;0,593;-0,300;2,537;-0,043;-0,032;0,009
2,985;0,582;-0,309;-56,299;0,570;-0,342;2,544;0,573;-0,304;2,553;0,572;-0,315;2,551;0,003;0,038;0,009
3,020;0,587;-0,317;-57,078;0,608;-0,312;2,558;0,576;-0,298;2,567;0,585;-0,301;2,564;-0,032;0,014;0,009
3,080;0,593;-0,327;-58,052;0,594;-0,316;2,575;0,582;-0,332;2,584;0,585;-0,328;2,581;-0,012;-0,016;0,009
3,117;0,598;-0,335;-58,832;0,569;-0,331;2,588;0,617;-0,341;2,598;0,604;-0,338;2,595;0,049;-0,010;0,009
